Filename,Camera View,Activity Type,Start Time,End Time,Label (Primary),Appearance Block
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:00:07,00:00:13,Class 13,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:00:39,00:00:44,Class 7,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:01:09,00:01:22,Class 11,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:01:38,00:01:58,Class 4,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:02:10,00:02:14,Class 14,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:02:45,00:02:54,Class 3,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:03:11,00:03:24,Class 2,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:03:38,00:03:54,Class 5,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:04:08,00:04:10,Class 1,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:04:34,00:04:49,Class 15,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:05:05,00:05:20,Class 12,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:05:36,00:05:48,Class 6,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:06:02,00:06:13,Class 8,None
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:06:38,00:06:53,Class 0,Sunglasses
Dashboard_user_id_35418_5,Dashboard,Distracted Behavior,00:07:08,00:07:11,Class 10,None
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:00:08,00:00:14,Class 13,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:00:40,00:00:44,Class 7,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:01:10,00:01:24,Class 11,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:01:42,00:01:59,Class 4,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:02:11,00:02:14,Class 14,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:02:44,00:02:54,Class 3,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:03:12,00:03:24,Class 2,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:03:39,00:03:56,Class 5,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:04:10,00:04:12,Class 1,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:04:34,00:04:50,Class 15,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:05:05,00:05:19,Class 12,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:05:36,00:05:48,Class 6,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:06:04,00:06:09,Class 8,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:06:37,00:06:53,Class 0,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:07:08,00:07:12,Class 10,Sunglasses
Dashboard_user_id_35418_7,Dashboard,Distracted Behavior,00:07:33,00:07:36,Class 9,Sunglasses
